type,date,price,shares,return
buy,2023-11-28 05:00:00,203.67713928222656,35.3497916462179,
sell,2023-12-04 05:00:00,208.6033630371093,,0.024186434335454178
buy,2023-12-05 05:00:00,201.73651123046875,36.553053163677596,
sell,2023-12-11 05:00:00,215.4403686523437,,0.06792948553680161
buy,2023-12-12 05:00:00,215.8284912109375,36.48732011592888,
sell,2023-12-18 05:00:00,221.05328369140625,,0.024208075825180832
buy,2023-12-19 05:00:00,220.3267974853516,36.60763019651218,
sell,2023-12-26 05:00:00,222.3769073486328,,0.009304859357462059
buy,2023-12-27 05:00:00,223.3621520996093,36.44615487422608,
sell,2024-01-02 05:00:00,220.77462768554688,,-0.011584435365345591
buy,2024-01-03 05:00:00,217.9880828857422,36.9120465963478,
sell,2024-01-08 05:00:00,227.13394165039065,,0.04195577411193731
buy,2024-01-09 05:00:00,225.3923492431641,37.19726364254859,
sell,2024-01-16 05:00:00,225.2530059814453,,-0.0006182253398869729
buy,2024-01-17 05:00:00,226.6064910888672,36.975090208172915,
sell,2024-01-22 05:00:00,236.2400054931641,,0.04251208497164794
buy,2024-01-23 05:00:00,235.9613494873047,37.01875554139841,
sell,2024-01-29 05:00:00,240.9671936035156,,0.02121467828136928
buy,2024-01-30 05:00:00,242.0221099853516,36.857399656772145,
sell,2024-02-05 05:00:00,243.05709838867188,,0.0042764208748652215
buy,2024-02-06 05:00:00,243.5845489501953,36.777589766411516,
sell,2024-02-12 05:00:00,247.6449737548828,,0.016669467838527467
buy,2024-02-13 05:00:00,233.8117218017578,38.953501485238,
sell,2024-02-20 05:00:00,241.77330017089844,,0.03405123707138608
buy,2024-02-21 05:00:00,242.70083618164065,38.80463188948177,
sell,2024-02-26 05:00:00,248.5551605224609,,0.02412156642278232
buy,2024-02-27 05:00:00,248.3656768798828,38.834236797421106,
sell,2024-03-04 05:00:00,246.7599639892578,,-0.006465115916164098
buy,2024-03-05 05:00:00,247.21875,38.7621686206323,
sell,2024-03-11 04:00:00,247.80715942382807,,0.0023801164912777375
